mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T00:00,27368,31800,9083,14218,5372,3025,19842,5066,22925,608
2021-11-01T00:05,39831,9400,11961,18884,16446,7173,14939,5593,12237,2653
2021-11-01T00:10,25814,23416,3246,9448,2069,6265,25797,70,31760,13658
2021-11-01T00:15,18003,2869,3421,32445,9712,4581,6384,7292,51147,6709
2021-11-01T00:20,15991,3964,13183,5838,7286,25993,5046,5390,48952,31727
2021-11-01T00:25,17219,9765,13253,5208,17511,54672,15475,638,915,51730
2021-11-01T00:30,24927,36825,9450,9216,2914,35658,15628,1256,6542,48630
2021-11-01T00:35,6384,40907,4823,8212,5833,11436,1393,1580,73122,44282
2021-11-01T00:40,16327,27629,19341,3473,1882,3160,4989,2388,47115,28016
2021-11-01T00:45,7884,3980,6170,590,6257,33493,2664,714,35461,3362
2021-11-01T00:50,16638,14557,1158,4475,5643,13205,7426,5020,966,6915
2021-11-01T00:55,13982,19016,4407,12026,3253,8202,9986,427,28168,33721
2021-11-01T01:00,5369,7129,5930,7491,11410,32500,7012,367,16617,14320
2021-11-01T01:05,2628,19122,12699,3852,9324,17086,4265,1272,44641,13889
2021-11-01T01:10,9146,14707,19388,8651,2420,11509,10818,103,40060,31622
2021-11-01T01:15,5132,26334,11196,8291,3519,30483,2042,2529,1471,20271
2021-11-01T01:20,13883,11418,11004,3707,11179,6871,17771,851,20412,9455
2021-11-01T01:25,5854,1933,3142,7181,5589,51426,4892,480,13328,54380
2021-11-01T01:30,4101,20295,8585,2661,8535,7225,4793,1185,15286,9758
2021-11-01T01:35,16626,10573,1883,6106,2194,1447,8589,1558,33570,21577
2021-11-01T01:40,15990,26460,3225,965,1195,2205,8680,386,9937,16860
2021-11-01T01:45,24302,17710,3599,6667,2750,15852,6001,964,1082,19416
2021-11-01T01:50,2804,24975,2408,5511,2382,8776,4347,1046,18304,13610
2021-11-01T01:55,11438,10875,4406,5156,3165,650,7277,267,18667,1229
2021-11-01T02:00,11157,11602,2041,1640,231,12918,4555,1263,15913,4927
2021-11-01T02:05,2046,4272,2365,4343,13304,2134,9119,304,1545,26189
2021-11-01T02:10,1266,8036,333,7678,1024,15995,8266,86,8085,8458
2021-11-01T02:15,9640,4282,146,5474,7979,12338,3435,499,413,16836
2021-11-01T02:20,1407,4691,3458,2243,6480,8837,1184,2978,4889,21065
2021-11-01T02:25,8511,18961,2932,2356,1034,188,1271,439,20902,153
2021-11-01T02:30,4789,4220,3082,3093,1493,904,1532,1194,14232,6586
2021-11-01T02:35,6704,8323,2693,4579,4530,9866,2887,366,8435,11669
2021-11-01T02:40,9254,9983,1935,2255,4185,9845,338,270,246,4385
2021-11-01T02:45,10361,7552,989,1626,1405,5569,103,838,1286,3271
2021-11-01T02:50,2153,6052,2300,3315,1478,611,751,630,11001,3709
2021-11-01T02:55,3191,5673,2040,2681,4066,5398,220,880,5927,5829
2021-11-01T03:00,2631,2079,87,3601,9642,14412,4468,616,10021,78
2021-11-01T03:05,1163,4171,3103,18,6861,14284,468,114,7498,10320
2021-11-01T03:10,358,4197,349,2179,1746,12486,1771,160,9248,13439
2021-11-01T03:15,7354,4527,930,2137,2162,159,659,41,4714,943
2021-11-01T03:20,4430,1008,1048,4147,1279,345,481,570,1099,6224
2021-11-01T03:25,8330,3340,1339,1180,1458,5784,3563,137,6032,12126
2021-11-01T03:30,6895,1820,539,38,3838,2938,1841,130,3989,6697
2021-11-01T03:35,5258,2462,361,1454,135,1011,1379,283,2100,2036
2021-11-01T03:40,5932,2553,866,555,885,4177,252,74,8667,8844
2021-11-01T03:45,818,2641,314,1745,914,8909,1399,185,2006,1549
2021-11-01T03:50,2459,5447,77,1232,1639,316,1319,325,4176,12731
2021-11-01T03:55,6145,1314,2035,285,1740,5642,1947,243,8907,533
2021-11-01T04:00,311,3570,1022,342,7639,1456,3089,221,1534,4724
2021-11-01T04:05,156,1799,962,894,1360,437,842,375,4233,4447
2021-11-01T04:10,1727,1294,2388,1214,5399,6701,2951,81,645,1472
2021-11-01T04:15,1086,4144,1068,3736,316,2447,3754,256,11967,5621
2021-11-01T04:20,1758,6725,482,1142,217,2946,1589,128,3331,1169
2021-11-01T04:25,2678,1337,2452,1038,8,1572,122,289,26,680
