site_name,A,B,C,D,E,F,G,H,I,J
A,3,20,3,60,0,30,94,12,43,48
B,10,69,28,0,29,71,85,21,60,7
C,8,4,54,38,3,51,92,4,58,50
D,77,118,51,34,73,24,38,74,17,68
E,40,100,20,24,17,58,56,95,48,29
Dn,40,35,22,43,33,1,44,107,45,47
P,73,23,51,66,91,84,32,2,83,42
Q,3,83,90,102,177,81,7,9,155,0
V,21,108,154,81,68,16,10,14,43,67
Y,79,14,2,96,8,123,63,56,1,72
b,50,15,123,78,65,78,47,4,85,39
d,46,43,18,149,131,60,25,54,58,47
i,73,47,16,75,117,12,33,13,8,24
m,101,101,69,44,34,100,77,97,38,38
q,92,21,66,173,159,78,34,74,36,88
4,10,94,57,10,8,64,31,68,31,59
5,92,0,58,55,69,57,45,56,21,98
7,48,15,70,91,96,52,59,75,23,6
9,185,37,67,11,103,16,60,37,106,98
AD,142,75,67,66,182,80,108,80,93,13
AF,42,44,132,92,72,49,15,61,14,13
AG,98,40,101,1,11,80,42,21,143,45
AJ,6,98,32,89,93,122,5,8,61,28
Do,69,56,33,46,70,69,22,31,44,89
AS,45,13,10,10,45,7,76,36,16,34
AV,13,61,17,74,168,44,54,19,7,16
Ab,76,36,10,17,90,5,35,64,25,14
Dp,75,11,15,54,58,47,5,111,95,33
Dq,29,12,4,41,81,20,34,77,27,28
Ag,54,24,13,53,68,47,58,54,27,59
Ak,35,68,4,44,44,91,53,80,36,73
Ao,85,64,49,24,61,0,7,42,11,40
Ar,30,25,38,7,30,78,72,76,99,14
Av,25,3,127,131,15,33,29,61,99,121
Ax,47,32,29,6,20,141,73,80,177,70
Ay,90,44,105,96,157,44,42,32,130,146
Az,15,24,56,98,84,22,32,80,39,57
A1,99,98,63,6,34,62,107,9,24,8
A3,11,63,41,13,27,6,86,92,28,102
Dr,67,23,110,66,46,13,83,104,18,64
A7,35,131,6,7,31,24,56,68,23,3
BC,24,91,52,119,62,35,98,46,3,59
BE,67,30,36,135,15,9,70,92,47,54
BM,58,60,3,46,135,29,136,69,45,108
BN,50,18,15,78,4,27,69,33,19,143
BR,63,86,48,15,19,97,36,40,25,26
BV,11,132,5,59,0,27,63,116,11,6
BW,23,80,18,34,25,111,70,46,32,60
Bb,17,42,70,44,103,66,83,119,14,5
Be,40,130,9,31,28,34,37,19,18,6
Dt,21,50,10,17,28,2,19,13,60,22
Bh,36,118,40,18,61,27,66,109,24,45
Bo,79,21,42,99,5,78,136,18,78,51
Br,28,54,86,104,18,141,68,68,47,2
Bt,37,45,54,66,11,105,124,30,96,81
Bv,4,61,75,94,22,72,5,1,61,67
Bx,3,73,77,73,112,34,121,56,51,66
B0,46,21,78,86,29,75,57,74,0,35
B7,11,95,60,6,13,8,70,55,40,89
B8,90,91,44,63,110,28,2,101,18,34
CB,55,91,28,18,27,58,102,127,20,14
CF,3,61,16,6,53,80,60,12,53,76
CG,30,62,45,61,69,154,98,42,41,76
CH,163,5,69,8,104,57,103,119,14,48
CK,9,26,97,14,42,33,15,79,118,149
CP,14,46,5,84,52,120,124,85,49,36
CS,1,88,18,44,24,38,20,58,111,63
CT,79,41,3,53,101,45,58,48,26,69
CZ,32,42,36,75,45,72,25,25,128,37
Cb,59,79,51,78,12,78,68,22,48,39
Ce,10,39,47,18,23,109,69,76,32,11
Cg,69,97,46,35,63,59,48,76,0,46
Du,29,46,19,13,99,39,50,29,6,3
Cq,57,37,84,8,95,86,23,68,51,13
Cs,69,31,45,69,57,13,6,65,92,2
Cz,92,20,24,56,9,45,31,75,97,149
C1,118,95,68,86,67,115,79,98,25,13
C4,24,30,53,43,5,49,10,42,100,17
C5,103,146,112,1,121,93,13,8,52,103
C8,12,115,20,28,80,52,21,1,36,72
C9,111,30,10,88,21,70,60,23,68,100
DA,88,30,27,50,67,33,31,27,33,37
DD,43,59,53,10,8,116,76,21,3,11
DE,64,24,26,19,65,45,33,37,29,121
DF,48,20,1,35,35,48,0,52,57,19
DJ,135,11,19,131,16,5,52,36,153,158
DK,18,162,22,73,109,2,34,22,53,29
Dv,113,67,173,288,12,19,163,46,65,155
DN,91,17,104,0,71,127,74,102,73,68
DP,68,12,170,54,90,47,137,31,71,93
DU,90,24,141,59,97,21,16,107,115,115
DV,71,30,18,50,73,38,54,14,50,5
DW,128,83,33,141,86,43,40,82,87,120
Dw,14,15,70,130,78,29,57,87,83,168
DZ,47,90,119,60,68,94,116,72,5,88
Db,10,4,24,96,5,104,117,15,33,96
Dh,7,109,13,55,75,69,79,49,27,110
Dx,6,32,11,37,4,92,128,62,49,44
Dj,106,112,85,2,53,38,22,36,94,3
Dm,42,12,27,112,61,78,5,54,77,70
