site_name,bandwidth
A,12334
B,34717
C,26092
D,67963
E,37698
Dn,21047
P,48893
Q,102120
V,52853
Y,31478
b,29083
d,71341
i,20096
m,5991
q,22313
4,70828
5,60340
7,36185
9,57461
AD,9100
AF,20398
AG,37496
AJ,62464
Do,43138
AS,20245
AV,32565
Ab,36336
Dp,17503
Dq,54452
Ag,33258
Ak,68647
Ao,36947
Ar,10288
Av,40758
Ax,3620
Ay,25882
Az,33796
A1,80544
A3,33249
Dr,82900
A7,56995
BC,21859
BE,74384
BM,19723
BN,11046
BR,22673
BV,39527
BW,43458
Bb,55019
Be,4527
Dt,71342
Bh,29417
Bo,39530
Br,91660
Bt,49717
Bv,90676
Bx,130669
B0,67051
B7,36162
B8,8967
CB,5316
CF,67643
CG,43283
CH,90105
CK,43549
CP,31392
CS,54359
CT,36724
CZ,42836
Cb,4019
Ce,62361
Cg,6186
Du,43004
Cq,76701
Cs,43912
Cz,80845
C1,105746
C4,20773
C5,76386
C8,2648
C9,74218
DA,119049
DD,142
DE,67242
DF,57502
DJ,95531
DK,18393
Dv,41427
DN,2398
DP,31433
DU,15896
DV,97960
DW,10795
Dw,13133
DZ,38406
Db,67066
Dh,33051
Dx,53636
Dj,59244
Dm,47786
